feature,O_noagg,O_noagg_z,O_sink,O_sink_z,ships_O,D_noagg,D_noagg_z,D_sink,D_sink_z,ships_D
drb,R,-0.15,R,-0.2,,A,-0.15,R,-0.15,yes
loose,A,-0.09,R,-0.09,,T,-0.21,A,-0.07,
q2,R,-0.08,T,-0.22,,R,-0.23,R,-0.11,
techflg_r,R,-0.1,A,-0.15,,R,-0.21,R,-0.23,
mpts,A,-0.01,T,-0.17,yes,R,-0.31,R,-0.26,
blksmr_r,R,-0.15,R,-0.13,,R,-0.17,R,-0.27,
blk3sh_r,R,-0.21,R,-0.18,,R,-0.11,R,-0.14,
season,R,-0.1,R,-0.16,yes,A,-0.22,R,-0.13,yes
techflg,A,-0.15,R,-0.14,,R,-0.19,R,-0.16,
blkrim_r,R,-0.25,R,-0.13,,R,-0.1,R,-0.27,
astrim_r,A,-0.01,A,0.25,,R,-0.36,R,-0.23,
tov,R,-0.19,R,-0.22,,R,-0.18,R,-0.21,
weight15,A,-0.07,A,0.04,yes,R,-0.31,R,-0.26,
draft_pick,T,-0.23,R,-0.12,,R,-0.16,R,-0.15,
stolensh_r,A,-0.12,A,-0.16,,R,-0.27,R,-0.19,
xps,R,-0.18,R,-0.16,,R,-0.21,R,-0.17,
m2,R,-0.18,R,-0.16,,R,-0.21,R,-0.22,
astlmr,A,-0.09,R,-0.13,,T,-0.31,R,-0.17,
unast,R,-0.27,R,-0.23,,R,-0.14,R,-0.27,
offoul,R,-0.16,R,-0.25,,R,-0.25,R,-0.13,
blksmr,R,-0.14,A,-0.08,,R,-0.28,R,-0.24,
ft_miss,R,-0.21,R,-0.23,,R,-0.22,R,-0.2,
q3,R,-0.23,R,-0.23,,R,-0.2,R,-0.1,
astlmrsh,R,-0.23,R,-0.24,,R,-0.21,R,0.0,
loose_r,R,-0.16,R,-0.16,,R,-0.28,R,-0.16,
astrimsh_r,R,-0.16,R,-0.27,,R,-0.29,R,-0.24,
fg2p,R,-0.21,R,-0.24,,R,-0.24,R,-0.06,
astlmrsh_r,R,-0.18,R,-0.14,,R,-0.27,R,-0.23,
tenure,R,-0.13,R,-0.19,,R,-0.32,R,-0.24,
russsh_r,R,-0.22,R,-0.23,,R,-0.23,R,-0.11,
stolen,R,-0.11,R,-0.07,,R,-0.35,R,-0.26,
m3,R,-0.18,R,-0.15,,R,-0.28,R,-0.23,
pot_ast_r,R,-0.08,R,-0.23,,R,-0.38,R,-0.3,
astc3sh,R,-0.23,R,-0.23,,R,-0.24,R,-0.17,
efg,T,-0.23,R,-0.24,yes,R,-0.24,R,-0.19,
fg3p,R,-0.2,R,-0.16,,R,-0.27,R,-0.16,
blklmr_r,R,-0.2,R,-0.2,,R,-0.28,R,-0.23,
stolensh,R,-0.17,R,-0.19,,R,-0.32,R,-0.28,
ftr,R,-0.21,R,-0.09,,R,-0.28,R,-0.22,
astrimsh,R,-0.18,R,-0.2,,R,-0.32,R,-0.28,
past_poss_d,A,-0.07,T,-0.22,,R,-0.43,R,-0.34,
blkrimsh_r,R,-0.2,R,-0.18,,R,-0.3,R,-0.23,
astab3sh_r,R,-0.27,R,-0.24,,R,-0.26,R,-0.23,
astc3sh_r,R,-0.22,R,-0.2,,R,-0.31,R,-0.26,
p3r,R,-0.25,R,-0.24,,R,-0.28,R,-0.27,
astc3_r,T,-0.24,T,-0.18,,R,-0.3,R,-0.24,
astsmrsh,R,-0.21,R,-0.2,,R,-0.33,R,-0.26,
russ_r,R,-0.26,R,-0.24,,R,-0.29,R,-0.27,
astsmrsh_r,R,-0.24,R,-0.24,,R,-0.31,R,-0.27,
past_apm_o,R,-0.32,R,-0.31,,R,-0.24,R,-0.17,
astab3sh,R,-0.25,R,-0.25,,R,-0.31,R,-0.27,
past_poss_o,R,-0.32,R,-0.31,,T,-0.25,T,-0.31,
astc3,R,-0.27,R,-0.23,,R,-0.31,R,-0.24,
astrim,R,-0.25,R,-0.24,,R,-0.33,R,-0.24,
astab3,R,-0.26,R,-0.28,,R,-0.32,R,-0.26,
unastsh_r,R,-0.27,R,-0.24,,R,-0.31,R,-0.27,
blklmr,R,-0.24,R,-0.18,,R,-0.36,R,-0.29,
astab3_r,R,-0.24,R,-0.23,,R,-0.36,R,-0.29,
offoul_r,R,-0.26,R,-0.18,,R,-0.34,R,-0.27,
stolen_r,R,-0.27,R,-0.25,,R,-0.33,R,-0.23,
russsh,R,-0.26,R,-0.26,,R,-0.35,R,-0.26,
blkrimsh,R,-0.26,R,-0.2,,R,-0.35,R,-0.28,
astsmr,R,-0.27,R,-0.28,,R,-0.34,R,-0.27,
astlmr_r,R,-0.27,R,-0.25,,R,-0.36,R,-0.3,
astsmr_r,R,-0.27,R,-0.23,,R,-0.36,R,-0.32,
pot_ast,R,-0.25,R,-0.27,,R,-0.38,R,-0.28,
unastsh,R,-0.27,R,-0.23,,R,-0.38,R,-0.28,
past_apm_d,R,-0.25,R,-0.23,,R,-0.43,R,-0.34,
height2,R,-0.32,R,-0.31,,R,-0.43,R,-0.34,
bigness,-,,R,-0.18,yes,-,,R,-0.23,
creation,-,,A,1.16,yes,-,,R,-0.16,
fg3a,-,,R,-0.19,yes,-,,R,-0.26,
fta,-,,R,-0.14,yes,-,,R,-0.09,
fga,-,,R,-0.26,yes,-,,A,1.08,
reb,-,,A,-0.14,yes,-,,A,-0.13,
pts,-,,A,2.3,yes,-,,A,-0.12,
shotmix,-,,R,-0.12,yes,-,,R,-0.26,
stocks,-,,R,-0.21,yes,-,,A,4.79,
usage,-,,R,-0.25,yes,-,,R,-0.2,
